id,common_name,scientific_name,image_url,county,freshwater,Saltwater
95,Blood parrot cichlid,Amphilophus citrinellus × Vieja melanurus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/BloodParrot.jpg/120px-BloodParrot.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
96,Blood-red jewel cichlid,Hemichromis lifalili,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cichlidae_-_Hemichromis_lifalili.JPG/120px-Cichlidae_-_Hemichromis_lifalili.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
97,Blue catfish,Ictalurus furcatus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Blue_catfish.jpg/120px-Blue_catfish.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
107,Blue tilapia,Oreochromis aureus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Blue_Tilapia.jpg/120px-Blue_Tilapia.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
108,Bluefin killifish,Lucania goodei,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lucania_goodei.jpg/120px-Lucania_goodei.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
111,Bluegill,Lepomis macrochirus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lepomis_macrochirus_UMFS_2014_2.JPG/120px-Lepomis_macrochirus_UMFS_2014_2.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
116,Blue-spotted sunfish,Enneacanthus gloriosus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Enneacanthus_gloriosus.jpg/120px-Enneacanthus_gloriosus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
122,Bowfin,Amia calva,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Amia_calva1.jpg/120px-Amia_calva1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
125,Brook silverside,Labidesthes sicculus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Labidesthes_sicculus.jpg/120px-Labidesthes_sicculus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
126,Brown Bullhead,Ameiurus nebulosus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Ameiurus_nebulosus.jpg/120px-Ameiurus_nebulosus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
129,Brown hoplo,Hoplosternum littorale,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hoplosternum_littorale.jpg/120px-Hoplosternum_littorale.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
137,Bullseye snakehead,Channa marulius,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Channa_marulius.jpg/120px-Channa_marulius.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
149,Chain pickerel,Esox niger,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Esox_niger.jpg/120px-Esox_niger.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
151,Channel catfish,Ictalurus punctatus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ictalurus_punctatus.jpg/120px-Ictalurus_punctatus.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
155,Choctaw bass,Micropterus sp. cf. punctulatus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Choctaw_bass.jpg/120px-Choctaw_bass.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
157,Clown featherback,Chitala ornata,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chitala_ornata.jpg/120px-Chitala_ornata.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
161,Coastal shiner,Notropis petersoni,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Notropis_petersoni.jpg/120px-Notropis_petersoni.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
166,Common carp,Cyprinus carpio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Cyprinus_carpio.jpeg/120px-Cyprinus_carpio.jpeg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
169,Common rudd,Scardinius erythrophthalmus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Scardinius_erythropthalmus_2009_G1.jpg/120px-Scardinius_erythropthalmus_2009_G1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
174,Convict cichlid,Archocentrus nigrofasciatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Archocentrus_nigrofasciatus_female.jpg/120px-Archocentrus_nigrofasciatus_female.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
182,Croaking gourami,Trichopsis vittata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Trichopsis_vittata.jpg/120px-Trichopsis_vittata.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
183,Cuban gar,Atractosteus tristoechus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Atractosteus_tristoechus_01.jpg/120px-Atractosteus_tristoechus_01.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
203,Dwarf rainbowfish,Melanotaenia praecox,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dwarf_neon_rainbows.jpg/120px-Dwarf_neon_rainbows.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
204,Eastern mosquitofish,Gambusia holbrooki,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Gambusia_holbrooki.png/120px-Gambusia_holbrooki.png,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
205,Eastern mudminnow,Umbra pygmaea,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Umbra_pygmaea.jpg/120px-Umbra_pygmaea.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
206,Electric eel,Electrophorus electricus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Electric-eel.jpg/120px-Electric-eel.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
212,Firemouth cichlid,Thorichthys meeki,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thorichthys_meeki_2019_G1.jpg/120px-Thorichthys_meeki_2019_G1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
213,Flagfish,Jordanella floridae,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Jordanella_floridae.jpg/120px-Jordanella_floridae.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
216,Flathead catfish,Pylodictis olivaris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Pylodictis_olivaris.jpg/120px-Pylodictis_olivaris.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
217,Flier,Centrarchus macropterus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Centrarchus_macropterus_%281%29.jpg/120px-Centrarchus_macropterus_%281%29.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
218,Florida bass,Micropterus floridanus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Florida_bass.jpg/120px-Florida_bass.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
220,Florida gar,Lepisosteus platyrhincus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lepisosteus_platyrhincus.JPG/120px-Lepisosteus_platyrhincus.JPG,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
222,Flowerhorn cichlid,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Gallery_19_68_148247.jpg/120px-Gallery_19_68_148247.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
236,Giant cichlid,Boulengerochromis microlepis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/DKoehl_Boulengerochromis_microlepis.jpg/120px-DKoehl_Boulengerochromis_microlepis.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
240,Golden shiner,Notemigonus crysoleucas,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Notemigonus_crysoleucas-1.jpg/120px-Notemigonus_crysoleucas-1.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
241,Golden topminnow,Fundulus chrysotus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Fundulus_chrysotus_UMFS_2.jpg/120px-Fundulus_chrysotus_UMFS_2.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
244,Goldfish,Carassius auratus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Goldfish3.jpg/120px-Goldfish3.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
248,Grass carp,Ctenopharyngodon idella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Ctenopharyngodon_idella_01_Pengo.jpg/120px-Ctenopharyngodon_idella_01_Pengo.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
260,Green sunfish,Lepomis cyanellus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Lepomis_cyanellus_Raver.jpg/120px-Lepomis_cyanellus_Raver.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
261,Green swordtail,Xiphophorus hellerii,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Xiphophorus_helleri_03.jpg/120px-Xiphophorus_helleri_03.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
273,Guppy,Poecilia reticulata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Guppy_pho_0048.jpg/120px-Guppy_pho_0048.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
279,Highfin carpsucker,Carpiodes velifer,,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
289,Hybrid striped bass,Morone chrysops × Morone saxatilis,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Hybrid_Striped_Bass.jpg/120px-Hybrid_Striped_Bass.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
292,Jack Dempsey,Rocio octafasciata,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Cichlasoma_octofasciata.jpg/120px-Cichlasoma_octofasciata.jpg,"{Columbia, Dixie, Gilchrist, Highlands, Holmes, Jackson, Lafayette, Lake, Levy, Madison, Marion, Sumter, Volusia}",Yes,No
